record_id,set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
12,311-5,Remote Control Car Set,1970,Samsonite,Model Maker,Vintage,Normal,271.0,,,,https://brickset.com/sets/311-5,https://images.brickset.com/sets/small/311-5.jpg,https://images.brickset.com/sets/images/311-5.jpg
13,312-1,Remote Control Supplement,1970,Samsonite,Model Maker,Vintage,Normal,1.0,,,,https://brickset.com/sets/312-1,https://images.brickset.com/sets/small/312-1.jpg,https://images.brickset.com/sets/images/312-1.jpg
14,338-1,Ambulance,1970,LEGOLAND,Vehicle,Vintage,Normal,74.0,,,,https://brickset.com/sets/338-1,https://images.brickset.com/sets/small/338-1.jpg,https://images.brickset.com/sets/images/338-1.jpg
15,345-3,House with Mini-Wheel Car,1970,Samsonite,Model Maker,Vintage,Normal,136.0,,,,https://brickset.com/sets/345-3,https://images.brickset.com/sets/small/345-3.jpg,https://images.brickset.com/sets/images/345-3.jpg
16,346-1,Jumbo Jet,1970,Samsonite,Model Maker,Vintage,Normal,121.0,,,,https://brickset.com/sets/346-1,https://images.brickset.com/sets/small/346-1.jpg,https://images.brickset.com/sets/images/346-1.jpg
17,347-1,Fire Station,1970,LEGOLAND,Building,Vintage,Normal,320.0,,,,https://brickset.com/sets/347-1,https://images.brickset.com/sets/small/347-1.jpg,https://images.brickset.com/sets/images/347-1.jpg
18,347-4,Fire Station with Mini-Wheel Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,216.0,,,,https://brickset.com/sets/347-4,https://images.brickset.com/sets/small/347-4.jpg,https://images.brickset.com/sets/images/347-4.jpg
19,348-2,Mini-Wheel Car and Truck Set,1970,Samsonite,Model Maker,Vintage,Normal,211.0,,,,https://brickset.com/sets/348-2,https://images.brickset.com/sets/small/348-2.jpg,https://images.brickset.com/sets/images/348-2.jpg
20,367-2,Mini Airport and Vehicle,1970,Samsonite,Model Maker,Vintage,Normal,233.0,,,,https://brickset.com/sets/367-2,https://images.brickset.com/sets/small/367-2.jpg,https://images.brickset.com/sets/images/367-2.jpg
21,512-1,Building Set ,1970,Duplo,Basic Set,Pre-school,Normal,20.0,,,,https://brickset.com/sets/512-1,https://images.brickset.com/sets/small/512-1.jpg,https://images.brickset.com/sets/images/512-1.jpg
22,513-1,Building Set ,1970,Duplo,Basic Set,Pre-school,Normal,29.0,,,,https://brickset.com/sets/513-1,https://images.brickset.com/sets/small/513-1.jpg,https://images.brickset.com/sets/images/513-1.jpg
23,600-1,Ambulance,1970,LEGOLAND,Vehicle,Vintage,Normal,17.0,,,,https://brickset.com/sets/600-1,https://images.brickset.com/sets/small/600-1.jpg,https://images.brickset.com/sets/images/600-1.jpg
24,601-2,Tow Truck,1970,LEGOLAND,Vehicle,Vintage,Normal,15.0,,,,https://brickset.com/sets/601-2,https://images.brickset.com/sets/small/601-2.jpg,https://images.brickset.com/sets/images/601-2.jpg
25,602-2,Van with opening doors,1970,LEGOLAND,Vehicle,Vintage,Normal,24.0,,,,https://brickset.com/sets/602-2,https://images.brickset.com/sets/small/602-2.jpg,https://images.brickset.com/sets/images/602-2.jpg
